,ema3,ema13,ema144,high,low,close,open,start,end,buy,sell,loss,balance,date
1497177000.0,2843.8610000000003,2833.645282019388,2825.550461251938,2852.7,2815.0,2843.938,2852.666,1497177000.0,1497178800.0,,,,463.9607903638,2017-06-11 15:30:00
1497178800.0,2844.4362857142855,2835.8042968216587,2825.928061427721,2843.944,2818.418,2830.941,2843.94,1497178800.0,1497180600.0,,,,463.9607903638,2017-06-11 16:00:00
1497180600.0,2837.7607142857137,2835.6424082765907,2826.0971247146285,2841.177,2821.248,2831.618,2834.0,1497180600.0,1497182400.0,,,,463.9607903638,2017-06-11 16:30:00
1497182400.0,2833.1845714285714,2835.5399316882117,2826.3105927951224,2839.999,2814.174,2817.583,2825.019,1497182400.0,1497184200.0,,,,463.9607903638,2017-06-11 17:00:00
1497184200.0,2823.5012857142856,2833.182852909836,2826.3137982578687,2848.925,2811.766,2828.761,2811.766,1497184200.0,1497186000.0,,,,463.9607903638,2017-06-11 17:30:00
1497186000.0,2825.975428571429,2832.699417216278,2826.472168557541,2849.0,2820.0,2848.936,2828.761,1497186000.0,1497187800.0,,,,463.9607903638,2017-06-11 18:00:00
1497187800.0,2838.6927142857144,2835.4403981194164,2827.009153101174,2854.495,2827.743,2831.473,2848.936,1497187800.0,1497189600.0,0.05478083862532539,,,463.9607903638,2017-06-11 18:30:00
1497189600.0,2836.0750000000003,2834.9932835795557,2827.266728016459,2849.897,2828.649,2848.0,2836.322,1497189600.0,1497191400.0,,,,460.6557531623758,2017-06-11 19:00:00
1497191400.0,2843.411714285714,2836.9153763982986,2827.7432924065147,2850.0,2844.838,2845.196,2848.0,1497191400.0,1497193200.0,,,,463.3445507008,2017-06-11 19:30:00
1497193200.0,2844.036714285714,2838.3097916649,2828.2579021453894,2860.0,2845.198,2860.0,2845.198,1497193200.0,1497195000.0,,,,462.88836456310156,2017-06-11 20:00:00
1497195000.0,2854.056,2841.8980813410913,2828.9981697903536,2919.427,2859.999,2904.055,2860.0,1497195000.0,1497196800.0,,,,465.296845156,2017-06-11 20:30:00
1497196800.0,2883.0594285714283,2852.282964164311,2830.4005634987166,2919.0,2882.885,2898.5,2904.055,1497196800.0,1497198600.0,,,,472.464206174653,2017-06-11 21:00:00
1497198600.0,2894.587142857143,2860.4115539421705,2831.664763027901,2901.5,2883.701,2901.309,2898.9,1497198600.0,1497200400.0,,,,471.5604565331,2017-06-11 21:30:00
1497200400.0,2900.8987142857145,2867.3362976300414,2832.9628774469816,2901.309,2883.675,2892.632,2901.309,1497200400.0,1497202200.0,,,,472.01745612682146,2017-06-11 22:00:00
1497202200.0,2895.9494285714286,2872.033778819979,2834.1456222834854,2899.999,2881.004,2881.025,2889.632,1497202200.0,1497204000.0,,,,470.60578454450723,2017-06-11 22:30:00
1497204000.0,2887.2390000000005,2874.4329864139368,2835.08804173543,2884.52,2852.5,2875.0,2881.025,1497204000.0,1497205800.0,,,,468.717427732715,2017-06-11 23:00:00
1497205800.0,2879.2402857142856,2875.4795656411216,2835.9355785629355,2875.2,2861.171,2874.0,2874.989,1497205800.0,1497207600.0,,,,467.737213225,2017-06-11 23:30:00
1497207600.0,2875.289285714286,2876.5239036473126,2836.7533361441588,2901.499,2871.154,2896.0,2874.001,1497207600.0,1497209400.0,,0.0328912046,,467.5745220204,2017-06-12 00:00:00
1497209400.0,2886.714285714286,2880.8027789216385,2837.9155289000864,2899.984,2872.738,2884.0,2894.997,1497209400.0,1497211200.0,0.1377078954621547,,,467.1069474984,2017-06-12 00:30:00
1497211200.0,2886.0,2882.0399637270343,2838.8167071805224,2893.339,2879.582,2892.981,2884.0,1497211200.0,1497213000.0,,,,464.7062502628,2017-06-12 01:00:00
1497213000.0,2890.8462857142854,2884.9719866518876,2839.8523244836665,2899.248,2861.0,2865.01,2892.999,1497213000.0,1497214800.0,,,,466.1533816198077,2017-06-12 01:30:00
